time	AA	InSA	MD	AF	NT	Nea	WP	EP
-84	0	0.25	0	0	0.083333333	0.25	0.166666667	0.25
-83.5	0	0.25	0	0	0.083333333	0.25	0.166666667	0.25
-83	0	0.25	0	0	0.083333333	0.25	0.166666667	0.25
-82.5	0	0.25	0	0	0.083333333	0.25	0.166666667	0.25
-82	0	0.25	0	0	0.083333333	0.25	0.166666667	0.25
-81.5	0	0.25	0	0	0.083333333	0.25	0.166666667	0.25
-81	0	0.25	0	0	0.083333333	0.25	0.166666667	0.25
-80.5	0	0.25	0	0	0.083333333	0.25	0.166666667	0.25
-80	0	0.285714286	0	0	0.047619048	0.238095238	0.19047619	0.238095238
-79.5	0	0.294117647	0	0	0.058823529	0.235294118	0.176470588	0.235294118
-79	0	0.294117647	0	0	0.058823529	0.235294118	0.176470588	0.235294118
-78.5	0	0.294117647	0	0	0.058823529	0.235294118	0.176470588	0.235294118
-78	0	0.294117647	0	0	0.058823529	0.235294118	0.176470588	0.235294118
-77.5	0	0.294117647	0	0	0.058823529	0.235294118	0.176470588	0.235294118
-77	0	0.294117647	0	0	0.058823529	0.235294118	0.176470588	0.235294118
-76.5	0	0.294117647	0	0	0.058823529	0.235294118	0.176470588	0.235294118
-76	0	0.294117647	0	0	0.058823529	0.235294118	0.176470588	0.235294118
-75.5	0	0.368421053	0	0	0.052631579	0.210526316	0.157894737	0.210526316
-75	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-74.5	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-74	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-73.5	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-73	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-72.5	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-72	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-71.5	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-71	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-70.5	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-70	0	0.357142857	0	0	0.071428571	0.214285714	0.142857143	0.214285714
-69.5	0	0.4375	0	0	0.0625	0.1875	0.125	0.1875
-69	0	0.4	0	0	0.066666667	0.2	0.133333333	0.2
-68.5	0	0.4	0	0	0.066666667	0.2	0.133333333	0.2
-68	0	0.4	0	0	0.066666667	0.2	0.133333333	0.2
-67.5	0	0.4	0	0	0.066666667	0.2	0.133333333	0.2
-67	0	0.4	0	0	0.066666667	0.2	0.133333333	0.2
-66.5	0	0.4	0	0	0.066666667	0.2	0.133333333	0.2
-66	0	0.4	0	0	0.066666667	0.2	0.133333333	0.2
-65.5	0	0.444444444	0	0	0.055555556	0.166666667	0.111111111	0.222222222
-65	0	0.411764706	0	0	0.058823529	0.176470588	0.117647059	0.235294118
-64.5	0	0.411764706	0	0	0.058823529	0.176470588	0.117647059	0.235294118
-64	0	0.411764706	0	0	0.058823529	0.176470588	0.117647059	0.235294118
-63.5	0	0.411764706	0	0	0.058823529	0.176470588	0.117647059	0.235294118
-63	0	0.411764706	0	0	0.058823529	0.176470588	0.117647059	0.235294118
-62.5	0	0.411764706	0	0	0.058823529	0.176470588	0.117647059	0.235294118
-62	0	0.428571429	0	0.047619048	0.095238095	0.142857143	0.095238095	0.19047619
-61.5	0	0.4	0	0.05	0.1	0.15	0.1	0.2
